County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Trinity,43925.00,0.00,0.00,0.00,0.00,0.00,0.00
Tulare,43925.00,79.00,4.00,8.00,20.00,5.00,1.00
Tuolumne,43925.00,1.00,0.00,0.00,1.00,0.00,1.00
Unassigned,43925.00,52.00,1.00,,,,
Ventura,43925.00,194.00,6.00,21.00,127.00,7.00,25.00
Yolo,43925.00,40.00,2.00,4.00,5.00,3.00,3.00
Yuba,43925.00,7.00,0.00,2.00,16.00,2.00,2.00
Alameda,43955.00,475.00,12.00,72.00,87.00,39.00,13.00
Alpine,43955.00,1.00,0.00,,,,
Amador,43955.00,2.00,0.00,0.00,0.00,0.00,0.00
Butte,43955.00,10.00,0.00,2.00,16.00,1.00,6.00
Calaveras,43955.00,3.00,0.00,0.00,0.00,0.00,0.00
Colusa,43955.00,1.00,0.00,1.00,0.00,1.00,0.00
Contra Costa,43955.00,415.00,6.00,29.00,35.00,15.00,10.00
Del Norte,43955.00,1.00,0.00,0.00,1.00,0.00,0.00
El Dorado,43955.00,19.00,0.00,16.00,6.00,0.00,3.00
Fresno,43955.00,102.00,1.00,16.00,81.00,8.00,15.00
Glenn,43955.00,2.00,0.00,0.00,0.00,0.00,0.00
Humboldt,43955.00,29.00,0.00,2.00,3.00,0.00,0.00
Imperial,43955.00,42.00,1.00,9.00,9.00,8.00,1.00
Inyo,43955.00,10.00,0.00,9.00,106.00,1.00,0.00
Kern,43955.00,109.00,2.00,23.00,27.00,12.00,4.00
Kings,43955.00,4.00,0.00,3.00,1.00,2.00,0.00
Lake,43955.00,0.00,0.00,0.00,4.00,0.00,2.00
Lassen,43955.00,0.00,0.00,0.00,0.00,0.00,0.00
Los Angeles,43955.00,5892.00,130.00,1094.00,1082.00,473.00,166.00
Madera,43955.00,27.00,2.00,0.00,1.00,0.00,0.00
Marin,43955.00,113.00,6.00,5.00,15.00,3.00,5.00
Mariposa,43955.00,0.00,0.00,0.00,2.00,0.00,0.00
Mendocino,43955.00,4.00,0.00,0.00,3.00,0.00,2.00
Merced,43955.00,16.00,0.00,15.00,10.00,1.00,3.00
Modoc,43955.00,0.00,0.00,0.00,0.00,0.00,0.00
Mono,43955.00,18.00,1.00,20.00,2.00,0.00,0.00
Monterey,43955.00,61.00,2.00,16.00,15.00,4.00,0.00
Napa,43955.00,15.00,2.00,1.00,8.00,0.00,1.00
Nevada,43955.00,19.00,1.00,2.00,4.00,2.00,1.00
Orange,43955.00,820.00,15.00,144.00,221.00,70.00,46.00
Placer,43955.00,86.00,3.00,23.00,13.00,10.00,1.00
Plumas,43955.00,2.00,0.00,0.00,0.00,0.00,0.00
Riverside,43955.00,669.00,17.00,129.00,207.00,47.00,60.00
Sacramento,43955.00,393.00,11.00,64.00,78.00,23.00,26.00
San Benito,43955.00,22.00,1.00,3.00,0.00,2.00,0.00
San Bernardino,43955.00,375.00,13.00,146.00,240.00,59.00,54.00
San Diego,43955.00,1328.00,19.00,179.00,220.00,89.00,31.00
San Francisco,43955.00,559.00,6.00,79.00,68.00,37.00,11.00
San Joaquin,43955.00,179.00,10.00,46.00,24.00,17.00,4.00
San Luis Obispo,43955.00,83.00,1.00,2.00,11.00,2.00,9.00
San Mateo,43955.00,528.00,19.00,69.00,15.00,24.00,6.00
Santa Barbara,43955.00,171.00,1.00,31.00,26.00,18.00,2.00
Santa Clara,43955.00,1052.00,42.00,166.00,69.00,68.00,18.00
Santa Cruz,43955.00,59.00,1.00,5.00,12.00,4.00,4.00
Shasta,43955.00,11.00,2.00,8.00,11.00,4.00,0.00
Sierra,43955.00,0.00,0.00,,,,
Siskiyou,43955.00,3.00,0.00,0.00,2.00,0.00,2.00
Solano,43955.00,78.00,1.00,15.00,17.00,6.00,24.00
Sonoma,43955.00,88.00,1.00,6.00,21.00,2.00,6.00
Stanislaus,43955.00,51.00,0.00,30.00,25.00,14.00,5.00
Sutter,43955.00,14.00,1.00,0.00,0.00,0.00,0.00
Tehama,43955.00,1.00,0.00,0.00,1.00,0.00,0.00
Trinity,43955.00,0.00,0.00,0.00,0.00,0.00,0.00
Tulare,43955.00,81.00,4.00,4.00,20.00,8.00,2.00
Tuolumne,43955.00,1.00,0.00,0.00,0.00,0.00,0.00
Unassigned,43955.00,52.00,1.00,,,,
Ventura,43955.00,196.00,6.00,21.00,128.00,7.00,28.00
Yolo,43955.00,37.00,2.00,3.00,6.00,3.00,3.00
Yuba,43955.00,7.00,0.00,1.00,14.00,1.00,1.00
Alameda,43986.00,527.00,13.00,79.00,70.00,43.00,19.00
